"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-27","9.17"," 2115"," 2126","0.00",,"0.0","0.0",,"44","15",,"   20","   30",,"21.0","23.0",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-28","6.04"," 0235"," 0233","0.00",,"0.0","0.0",,"34","21",,"   10","   10",,"15.0","17.0","    1",,,,,,,"    1",,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-29","8.72"," 0700"," 0659","0.12",,,,,"26","19",,"  340","  340",,"16.1","17.0","    1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-30","6.71"," 2311"," 2157","0.00",,"0.0","0.0",,"40","11",,"  220","  220",,"14.1","16.1","    1","    1",,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-03-31","9.84"," 1848"," 1848","0.00",,"0.0","0.0",,"52","28",,"  340","  340",,"17.9","21.0",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-01","10.51"," 0629"," 2057","0.00",,"0.0","0.0",,"61","32",,"  210","  210",,"16.1","19.9",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-02","10.74"," 1825"," 1830","0.05",,"0.0","0.0",,"61","36",,"  360","  360",,"23.9","29.1",,,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-03","9.17"," 1034"," 1219","0.00",,"0.0","0.0",,"58","31",,"   20","   20",,"19.9","23.0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-04","11.41"," 2114"," 2239","0.00",,"0.0","0.0",,"67","32",,"  180","  200",,"19.9","21.9",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-05","11.18"," 1641"," 1635","0.00",,"0.0","0.0",,"72","45",,"  280","  290",,"25.9","32.0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-06","7.38"," 1644"," 1642","0.00",,"0.0","0.0",,"71","38",,"  120","  120",,"19.9","21.9",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-07","7.16"," 1121"," 1113","0.00",,"0.0","0.0",,"72","46",,"  280","  290",,"21.9","29.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-04-08","12.75"," 1843"," 1842","0.00",,"0.0","0.0",,"73","40",,"  290","  290",,"36.0","38.9",,,,,,,,,,,,,,,,,,,,,,
